text,emotion_code,scenario,speaker_role,sarcasm,ring_level,iaa_score,emotion_cause,conversation_id,turn_number,timestamp
So happy about this!,joy,workplace,partner,0,2,0.722,Reaction to online_debate,conv_6641,12,2026-05-02T06:19:00.043746
So happy about this!,appr,workplace,friend,0,2,0.926,Reaction to education,conv_3124,8,2026-05-02T06:19:00.046346
Best day ever!,trus,education,stranger,0,2,0.84,Reaction to customer_service,conv_2399,2,2026-05-02T06:19:00.044228
This is amazing!,bore,friendship,friend,0,1,0.7,Reaction to healthcare,conv_3254,11,2026-05-02T06:19:00.031775
This makes me nervous.,fear,family,partner,0,2,0.812,Reaction to healthcare,conv_7232,12,2026-05-02T06:19:00.044416
On high alert.,vigi,family,agent,0,3,0.782,Reaction to family,conv_6029,2,2026-05-02T06:19:00.048778
So happy about this!,admi,healthcare,agent,0,3,0.894,Reaction to online_debate,conv_6191,1,2026-05-02T06:19:00.046887
Best day ever!,surp,healthcare,friend,0,2,0.676,Reaction to healthcare,conv_2221,6,2026-05-02T06:19:00.044892
Afraid of consequences.,fear,workplace,partner,0,2,0.942,Reaction to family,conv_7617,1,2026-05-02T06:19:00.044338
This is amazing!,disg,friendship,friend,0,2,0.65,Reaction to family,conv_5612,4,2026-05-02T06:19:00.045637
HEARTBROKEN.,grie,workplace,friend,0,3,0.775,Reaction to friendship,conv_7795,1,2026-05-02T06:19:00.047865
So happy about this!,sadn,family,partner,0,2,0.81,Reaction to customer_service,conv_1945,11,2026-05-02T06:19:00.045128
Overwhelmed.,awe,friendship,friend,0,1,0.661,Reaction to customer_service,conv_7864,12,2026-05-02T06:19:00.049817
Didn't see that coming!,supr,online_debate,partner,0,2,0.928,Reaction to family,conv_6464,6,2026-05-02T06:19:00.051459
This is amazing!,cont,healthcare,agent,0,1,0.741,Reaction to family,conv_9164,11,2026-05-02T06:19:00.050815
So happy about this!,appr,customer_service,stranger,0,2,0.886,Reaction to customer_service,conv_3789,11,2026-05-02T06:19:00.046101
This is amazing!,subm,family,stranger,0,1,0.581,Reaction to family,conv_7077,4,2026-05-02T06:19:00.049710
Afraid of consequences.,fear,friendship,user,0,2,0.785,Reaction to romance,conv_1524,9,2026-05-02T06:19:00.044440
Profoundly moving.,awe,workplace,user,0,1,0.701,Reaction to family,conv_1891,9,2026-05-02T06:19:00.049729
ABSOLUTELY THRILLED!,ecst,romance,stranger,0,3,0.745,Reaction to education,conv_2349,9,2026-05-02T06:19:00.046529
This is amazing!,bore,online_debate,stranger,0,1,0.574,Reaction to family,conv_8056,6,2026-05-02T06:19:00.031940
This is amazing!,pens,friendship,partner,0,1,0.579,Reaction to workplace,conv_4410,11,2026-05-02T06:19:00.031549
So happy about this!,inte,online_debate,friend,0,1,0.705,Reaction to family,conv_6150,2,2026-05-02T06:19:00.032233
Profoundly moving.,awe,family,user,0,1,0.748,Reaction to family,conv_3091,9,2026-05-02T06:19:00.049965
Filled with wonder.,awe,healthcare,partner,0,1,0.713,Reaction to healthcare,conv_7849,2,2026-05-02T06:19:00.049989
HEARTBROKEN.,grie,online_debate,partner,0,3,0.721,Reaction to education,conv_8656,10,2026-05-02T06:19:00.047893
So happy about this!,dist,online_debate,stranger,0,1,0.777,Reaction to workplace,conv_4442,7,2026-05-02T06:19:00.031280
This is amazing!,aggr,customer_service,friend,0,1,0.751,Reaction to customer_service,conv_4073,5,2026-05-02T06:19:00.051328
So happy about this!,bore,workplace,agent,0,1,0.711,Reaction to friendship,conv_8310,1,2026-05-02T06:19:00.031833
MIND-BLOWING!,amaz,friendship,stranger,0,3,0.905,Reaction to online_debate,conv_9252,3,2026-05-02T06:19:00.047670
Overwhelmed.,awe,customer_service,friend,0,1,0.684,Reaction to education,conv_1495,4,2026-05-02T06:19:00.049930
Afraid of consequences.,fear,workplace,partner,0,2,0.676,Reaction to friendship,conv_2166,3,2026-05-02T06:19:00.044391
Full of affection.,love,family,partner,0,1,0.615,Reaction to romance,conv_1324,6,2026-05-02T06:19:00.049235
ASTONISHING!,amaz,education,friend,0,3,0.679,Reaction to romance,conv_2951,2,2026-05-02T06:19:00.047567
So happy about this!,cont,education,agent,0,1,0.778,Reaction to family,conv_5966,10,2026-05-02T06:19:00.050996
SEEING RED!,rage,romance,agent,0,3,0.785,Reaction to family,conv_3525,7,2026-05-02T06:19:00.048529
Best day ever!,trus,online_debate,partner,0,2,0.72,Reaction to family,conv_4238,11,2026-05-02T06:19:00.044180
Best day ever!,aggr,family,agent,0,1,0.675,Reaction to friendship,conv_5480,6,2026-05-02T06:19:00.051439
Afraid of consequences.,fear,romance,partner,0,2,0.667,Reaction to workplace,conv_8445,3,2026-05-02T06:19:00.044458
Didn't see that coming!,supr,family,user,0,2,0.8,Reaction to healthcare,conv_1514,1,2026-05-02T06:19:00.051633
This is amazing!,appr,customer_service,stranger,0,2,0.933,Reaction to romance,conv_1933,12,2026-05-02T06:19:00.046245
This is amazing!,acce,friendship,partner,0,1,0.799,Reaction to friendship,conv_6418,6,2026-05-02T06:19:00.030702
This is amazing!,subm,workplace,stranger,0,1,0.618,Reaction to friendship,conv_9784,2,2026-05-02T06:19:00.049520
So happy about this!,inte,healthcare,agent,0,1,0.802,Reaction to romance,conv_8372,1,2026-05-02T06:19:00.032203
This is amazing!,admi,romance,partner,0,3,0.888,Reaction to family,conv_6512,6,2026-05-02T06:19:00.046905
DEVASTATED by this loss.,grie,workplace,partner,0,3,0.839,Reaction to romance,conv_7496,10,2026-05-02T06:19:00.047792
Scanning for threats.,vigi,education,user,0,3,0.845,Reaction to romance,conv_2497,5,2026-05-02T06:19:00.048887
So happy about this!,dist,romance,partner,0,1,0.747,Reaction to friendship,conv_2398,1,2026-05-02T06:19:00.031286
Best day ever!,joy,healthcare,friend,0,2,0.847,Reaction to family,conv_6430,7,2026-05-02T06:19:00.043802
So happy about this!,joy,workplace,agent,0,2,0.804,Reaction to healthcare,conv_5743,1,2026-05-02T06:19:00.043585
So happy about this!,disg,romance,agent,0,2,0.852,Reaction to education,conv_8089,8,2026-05-02T06:19:00.045500
PARALYZED WITH FEAR!,terr,romance,partner,0,3,0.871,Reaction to online_debate,conv_5900,12,2026-05-02T06:19:00.047205
So happy about this!,subm,workplace,agent,0,1,0.554,Reaction to workplace,conv_8460,7,2026-05-02T06:19:00.049424
So happy about this!,acce,workplace,agent,0,1,0.729,Reaction to family,conv_5755,11,2026-05-02T06:19:00.030602
So happy about this!,sadn,family,friend,0,2,0.676,Reaction to customer_service,conv_2049,1,2026-05-02T06:19:00.045180
REVOLTED!,loat,education,friend,0,3,0.704,Reaction to online_debate,conv_8815,3,2026-05-02T06:19:00.048037
Best day ever!,disa,family,friend,0,1,0.68,Reaction to education,conv_4583,5,2026-05-02T06:19:00.050316
Unexpected!,supr,workplace,stranger,0,2,0.75,Reaction to education,conv_4622,4,2026-05-02T06:19:00.051466
This is amazing!,aggr,workplace,friend,0,1,0.749,Reaction to family,conv_6440,5,2026-05-02T06:19:00.051268
Didn't see that coming!,supr,friendship,stranger,0,2,0.908,Reaction to family,conv_4830,3,2026-05-02T06:19:00.051484
So happy about this!,sere,friendship,partner,0,1,0.662,Reaction to customer_service,conv_2952,7,2026-05-02T06:19:00.030430
PARALYZED WITH FEAR!,terr,friendship,stranger,0,3,0.811,Reaction to romance,conv_2029,11,2026-05-02T06:19:00.047245
So happy about this!,remo,workplace,agent,0,1,0.656,Reaction to customer_service,conv_1948,6,2026-05-02T06:19:00.050644
ABSOLUTELY DESPISE THIS!,loat,customer_service,stranger,0,3,0.849,Reaction to education,conv_7009,8,2026-05-02T06:19:00.048288
This is amazing!,bore,online_debate,stranger,0,1,0.707,Reaction to online_debate,conv_3539,5,2026-05-02T06:19:00.031644
Best day ever!,subm,education,user,0,1,0.596,Reaction to romance,conv_7184,9,2026-05-02T06:19:00.049497
This is amazing!,cont,online_debate,user,0,1,0.645,Reaction to friendship,conv_5884,9,2026-05-02T06:19:00.050772
So happy about this!,inte,workplace,user,0,1,0.605,Reaction to healthcare,conv_2029,5,2026-05-02T06:19:00.032089
Best day ever!,sadn,online_debate,user,0,2,0.822,Reaction to romance,conv_6768,6,2026-05-02T06:19:00.044990
SEEING RED!,rage,workplace,friend,0,3,0.793,Reaction to workplace,conv_3528,2,2026-05-02T06:19:00.048589
Best day ever!,aggr,workplace,user,0,1,0.73,Reaction to education,conv_5198,9,2026-05-02T06:19:00.051158
So happy about this!,ange,friendship,agent,0,2,0.916,Reaction to education,conv_5733,1,2026-05-02T06:19:00.045927
So happy about this!,dist,romance,stranger,0,1,0.624,Reaction to romance,conv_4818,5,2026-05-02T06:19:00.031138
This is amazing!,joy,friendship,friend,0,2,0.738,Reaction to education,conv_1636,2,2026-05-02T06:19:00.043814
This is amazing!,bore,romance,agent,0,1,0.699,Reaction to online_debate,conv_1395,8,2026-05-02T06:19:00.031910
Best day ever!,disa,romance,user,0,1,0.794,Reaction to online_debate,conv_9030,12,2026-05-02T06:19:00.050195
So happy about this!,disg,online_debate,friend,0,2,0.875,Reaction to customer_service,conv_9122,1,2026-05-02T06:19:00.045465
This is amazing!,dist,friendship,partner,0,1,0.586,Reaction to friendship,conv_2055,8,2026-05-02T06:19:00.031102
Best day ever!,bore,workplace,stranger,0,1,0.646,Reaction to online_debate,conv_3102,4,2026-05-02T06:19:00.031656
Best day ever!,disa,romance,stranger,0,1,0.625,Reaction to customer_service,conv_4530,2,2026-05-02T06:19:00.050115
ABSOLUTELY THRILLED!,ecst,romance,agent,0,3,0.81,Reaction to workplace,conv_5660,3,2026-05-02T06:19:00.046482
So happy about this!,aggr,education,stranger,0,1,0.618,Reaction to romance,conv_2140,11,2026-05-02T06:19:00.051133
This is amazing!,opti,workplace,friend,0,1,0.721,Reaction to education,conv_3535,2,2026-05-02T06:19:00.043288
Best day ever!,disg,education,agent,0,2,0.829,Reaction to online_debate,conv_8444,7,2026-05-02T06:19:00.045363
Overwhelmed.,awe,customer_service,agent,0,1,0.556,Reaction to customer_service,conv_8816,10,2026-05-02T06:19:00.049777
Filled with wonder.,awe,online_debate,user,0,1,0.775,Reaction to friendship,conv_3945,8,2026-05-02T06:19:00.050024
Best day ever!,admi,friendship,partner,0,3,0.721,Reaction to workplace,conv_2996,6,2026-05-02T06:19:00.046944
Profoundly moving.,awe,healthcare,friend,0,1,0.769,Reaction to customer_service,conv_6135,12,2026-05-02T06:19:00.049995
Best day ever!,sadn,friendship,user,0,2,0.703,Reaction to workplace,conv_2954,5,2026-05-02T06:19:00.045333
Best day ever!,pens,healthcare,user,0,1,0.732,Reaction to friendship,conv_8296,10,2026-05-02T06:19:00.031620
This is amazing!,inte,online_debate,stranger,0,1,0.612,Reaction to online_debate,conv_4281,12,2026-05-02T06:19:00.032171
Best day ever!,admi,workplace,agent,0,3,0.711,Reaction to friendship,conv_2952,1,2026-05-02T06:19:00.047036
This is amazing!,cont,online_debate,user,0,1,0.65,Reaction to friendship,conv_6973,10,2026-05-02T06:19:00.051003
So happy about this!,disg,education,partner,0,2,0.72,Reaction to healthcare,conv_7425,12,2026-05-02T06:19:00.045596
This is amazing!,opti,family,stranger,0,1,0.8,Reaction to online_debate,conv_1684,3,2026-05-02T06:19:00.043365
Filled with wonder.,awe,healthcare,partner,0,1,0.65,Reaction to romance,conv_1971,4,2026-05-02T06:19:00.050048
Full of affection.,love,online_debate,user,0,1,0.737,Reaction to education,conv_9590,10,2026-05-02T06:19:00.049283
Best day ever!,subm,customer_service,stranger,0,1,0.75,Reaction to customer_service,conv_9931,5,2026-05-02T06:19:00.049467
So happy about this!,anno,online_debate,agent,0,1,0.719,Reaction to online_debate,conv_1889,10,2026-05-02T06:19:00.032418
Unexpected!,supr,friendship,friend,0,2,0.843,Reaction to online_debate,conv_5268,11,2026-05-02T06:19:00.051681
This is amazing!,acce,friendship,partner,0,1,0.673,Reaction to workplace,conv_7469,2,2026-05-02T06:19:00.030809
Best day ever!,subm,workplace,stranger,0,1,0.663,Reaction to family,conv_5581,3,2026-05-02T06:19:00.049526
So happy about this!,pens,romance,friend,0,1,0.68,Reaction to workplace,conv_4774,6,2026-05-02T06:19:00.031495
So happy about this!,bore,workplace,stranger,0,1,0.732,Reaction to online_debate,conv_9693,10,2026-05-02T06:19:00.031957
This is amazing!,dist,online_debate,agent,0,1,0.626,Reaction to education,conv_3593,12,2026-05-02T06:19:00.031017
Best day ever!,cont,family,agent,0,1,0.762,Reaction to customer_service,conv_7917,5,2026-05-02T06:19:00.050785
So happy about this!,cont,online_debate,agent,0,1,0.724,Reaction to healthcare,conv_3259,9,2026-05-02T06:19:00.051027
So happy about this!,disg,workplace,user,0,2,0.772,Reaction to healthcare,conv_8954,10,2026-05-02T06:19:00.045530
Best day ever!,subm,customer_service,friend,0,1,0.768,Reaction to workplace,conv_3506,3,2026-05-02T06:19:00.049574
REVOLTED!,loat,online_debate,user,0,3,0.86,Reaction to romance,conv_7510,6,2026-05-02T06:19:00.048252
This is amazing!,appr,customer_service,stranger,0,2,0.718,Reaction to family,conv_4836,6,2026-05-02T06:19:00.046376
This is amazing!,opti,healthcare,user,0,1,0.579,Reaction to customer_service,conv_1764,11,2026-05-02T06:19:00.043306
Unexpected!,supr,customer_service,agent,0,2,0.672,Reaction to customer_service,conv_2370,8,2026-05-02T06:19:00.051687
So happy about this!,surp,education,agent,0,2,0.788,Reaction to online_debate,conv_9757,6,2026-05-02T06:19:00.044781
So happy about this!,admi,customer_service,partner,0,3,0.723,Reaction to healthcare,conv_5849,12,2026-05-02T06:19:00.047031
SEEING RED!,rage,friendship,partner,0,3,0.885,Reaction to friendship,conv_5175,12,2026-05-02T06:19:00.048390
So happy about this!,sere,online_debate,partner,0,1,0.674,Reaction to friendship,conv_6750,1,2026-05-02T06:19:00.030275
Best day ever!,dist,education,friend,0,1,0.647,Reaction to online_debate,conv_2421,5,2026-05-02T06:19:00.031063
This is amazing!,inte,family,friend,0,1,0.655,Reaction to romance,conv_6799,8,2026-05-02T06:19:00.032095
DEVASTATED by this loss.,grie,friendship,friend,0,3,0.864,Reaction to friendship,conv_2576,10,2026-05-02T06:19:00.047881
Best day ever!,sadn,healthcare,stranger,0,2,0.773,Reaction to workplace,conv_3691,5,2026-05-02T06:19:00.045218
This is amazing!,acce,family,friend,0,1,0.765,Reaction to education,conv_1875,3,2026-05-02T06:19:00.030696
What a surprise!,supr,romance,stranger,0,2,0.778,Reaction to workplace,conv_2587,8,2026-05-02T06:19:00.051517
Didn't see that coming!,supr,education,stranger,0,2,0.828,Reaction to education,conv_3148,12,2026-05-02T06:19:00.051535
I'm worried something might go wrong.,fear,family,agent,0,2,0.801,Reaction to family,conv_5559,4,2026-05-02T06:19:00.044344
REVOLTED!,loat,online_debate,agent,0,3,0.831,Reaction to customer_service,conv_7590,9,2026-05-02T06:19:00.048324
Best day ever!,appr,healthcare,user,0,2,0.721,Reaction to romance,conv_2525,11,2026-05-02T06:19:00.046202
Filled with wonder.,awe,romance,partner,0,1,0.75,Reaction to healthcare,conv_7255,3,2026-05-02T06:19:00.049758
DEVASTATED by this loss.,grie,workplace,user,0,3,0.69,Reaction to online_debate,conv_6334,8,2026-05-02T06:19:00.047972
I'm worried something might go wrong.,fear,healthcare,stranger,0,2,0.697,Reaction to online_debate,conv_8131,9,2026-05-02T06:19:00.044482
This is amazing!,remo,online_debate,partner,0,1,0.73,Reaction to family,conv_1910,4,2026-05-02T06:19:00.050438
Best day ever!,ange,workplace,stranger,0,2,0.886,Reaction to customer_service,conv_1124,7,2026-05-02T06:19:00.046001
PARALYZED WITH FEAR!,terr,romance,agent,0,3,0.675,Reaction to romance,conv_5203,5,2026-05-02T06:19:00.047140
I'm worried something might go wrong.,fear,romance,user,0,2,0.932,Reaction to friendship,conv_4663,12,2026-05-02T06:19:00.044521
Best day ever!,ange,friendship,agent,0,2,0.791,Reaction to family,conv_4935,8,2026-05-02T06:19:00.045830
So happy about this!,bore,education,user,0,1,0.656,Reaction to romance,conv_9948,7,2026-05-02T06:19:00.031710
Best day ever!,sadn,workplace,partner,0,2,0.85,Reaction to online_debate,conv_5898,4,2026-05-02T06:19:00.045104
This is amazing!,disg,workplace,user,0,2,0.662,Reaction to education,conv_5966,6,2026-05-02T06:19:00.045663
This is amazing!,sere,education,stranger,0,1,0.749,Reaction to online_debate,conv_4114,7,2026-05-02T06:19:00.030478
Best day ever!,joy,workplace,user,0,2,0.861,Reaction to family,conv_7798,8,2026-05-02T06:19:00.043573
Best day ever!,anno,family,friend,0,1,0.723,Reaction to romance,conv_6363,7,2026-05-02T06:19:00.032721
This makes me nervous.,fear,customer_service,agent,0,2,0.677,Reaction to family,conv_5711,10,2026-05-02T06:19:00.044446
This is amazing!,opti,customer_service,stranger,0,1,0.627,Reaction to customer_service,conv_5977,9,2026-05-02T06:19:00.043281
Best day ever!,aggr,family,user,0,1,0.687,Reaction to friendship,conv_5684,5,2026-05-02T06:19:00.051384
So happy about this!,opti,friendship,agent,0,1,0.701,Reaction to online_debate,conv_9854,6,2026-05-02T06:19:00.043522
This is amazing!,aggr,online_debate,user,0,1,0.733,Reaction to family,conv_1761,4,2026-05-02T06:19:00.051446
Didn't see that coming!,supr,healthcare,agent,0,2,0.884,Reaction to family,conv_7134,4,2026-05-02T06:19:00.051675
So happy about this!,ange,healthcare,partner,0,2,0.81,Reaction to education,conv_6139,3,2026-05-02T06:19:00.045823
So happy about this!,acce,online_debate,agent,0,1,0.794,Reaction to education,conv_8069,1,2026-05-02T06:19:00.030968
ABSOLUTELY DESPISE THIS!,loat,education,stranger,0,3,0.917,Reaction to family,conv_5789,5,2026-05-02T06:19:00.048282
ASTONISHING!,amaz,romance,friend,0,3,0.83,Reaction to online_debate,conv_9121,10,2026-05-02T06:19:00.047416
Best day ever!,acce,customer_service,agent,0,1,0.639,Reaction to education,conv_6054,8,2026-05-02T06:19:00.030955
Best day ever!,bore,romance,friend,0,1,0.629,Reaction to online_debate,conv_9966,3,2026-05-02T06:19:00.031739
Filled with wonder.,awe,workplace,agent,0,1,0.683,Reaction to education,conv_5878,9,2026-05-02T06:19:00.049936
Best day ever!,remo,workplace,partner,0,1,0.77,Reaction to education,conv_6844,3,2026-05-02T06:19:00.050545
This is amazing!,bore,romance,user,0,1,0.645,Reaction to family,conv_4015,12,2026-05-02T06:19:00.031809
On high alert.,vigi,education,stranger,0,3,0.759,Reaction to online_debate,conv_7658,1,2026-05-02T06:19:00.048767
This is amazing!,joy,family,agent,0,2,0.728,Reaction to romance,conv_4710,12,2026-05-02T06:19:00.043597
Unexpected!,supr,online_debate,friend,0,2,0.715,Reaction to friendship,conv_1935,5,2026-05-02T06:19:00.051751
So happy about this!,remo,friendship,stranger,0,1,0.629,Reaction to customer_service,conv_3878,3,2026-05-02T06:19:00.050688
COMPLETELY STUNNED!,amaz,customer_service,friend,0,3,0.83,Reaction to education,conv_5315,3,2026-05-02T06:19:00.047635
This is amazing!,aggr,healthcare,user,0,1,0.633,Reaction to healthcare,conv_5339,3,2026-05-02T06:19:00.051414
Best day ever!,aggr,online_debate,user,0,1,0.581,Reaction to workplace,conv_4352,4,2026-05-02T06:19:00.051146
This is amazing!,disa,customer_service,agent,0,1,0.664,Reaction to customer_service,conv_1445,2,2026-05-02T06:19:00.050122
Profoundly moving.,awe,friendship,stranger,0,1,0.672,Reaction to education,conv_7037,9,2026-05-02T06:19:00.049800
On high alert.,vigi,romance,partner,0,3,0.828,Reaction to healthcare,conv_2521,7,2026-05-02T06:19:00.048917
So happy about this!,ange,education,friend,0,2,0.879,Reaction to friendship,conv_8510,7,2026-05-02T06:19:00.045799
ABSOLUTELY FURIOUS!,rage,friendship,user,0,3,0.805,Reaction to family,conv_4598,5,2026-05-02T06:19:00.048517
DEVASTATED by this loss.,grie,online_debate,friend,0,3,0.887,Reaction to family,conv_4107,11,2026-05-02T06:19:00.047746
Filled with wonder.,awe,family,friend,0,1,0.779,Reaction to romance,conv_6266,5,2026-05-02T06:19:00.049983
This is amazing!,cont,customer_service,stranger,0,1,0.648,Reaction to romance,conv_8046,3,2026-05-02T06:19:00.050930
Best day ever!,inte,family,partner,0,1,0.684,Reaction to romance,conv_8878,12,2026-05-02T06:19:00.032264
This is amazing!,aggr,education,user,0,1,0.804,Reaction to education,conv_6993,10,2026-05-02T06:19:00.051346
HATE EVERY FIBER!,loat,family,user,0,3,0.755,Reaction to workplace,conv_9992,8,2026-05-02T06:19:00.048197
Best day ever!,dist,family,agent,0,1,0.562,Reaction to family,conv_5713,11,2026-05-02T06:19:00.031269
So happy about this!,ange,romance,friend,0,2,0.685,Reaction to romance,conv_4754,4,2026-05-02T06:19:00.045805
ABSOLUTELY TERRIFIED!,terr,romance,agent,0,3,0.882,Reaction to family,conv_8964,5,2026-05-02T06:19:00.047228
SEEING RED!,rage,romance,partner,0,3,0.738,Reaction to online_debate,conv_4271,1,2026-05-02T06:19:00.048535
Best day ever!,inte,workplace,agent,0,1,0.805,Reaction to online_debate,conv_5629,5,2026-05-02T06:19:00.032215
REVOLTED!,loat,workplace,friend,0,3,0.852,Reaction to friendship,conv_9694,3,2026-05-02T06:19:00.048312
Profoundly moving.,awe,healthcare,user,0,1,0.717,Reaction to romance,conv_3113,3,2026-05-02T06:19:00.049794
Scanning for threats.,vigi,workplace,friend,0,3,0.798,Reaction to workplace,conv_2346,11,2026-05-02T06:19:00.048743
This is amazing!,aggr,family,friend,0,1,0.616,Reaction to family,conv_6041,8,2026-05-02T06:19:00.051304
Drowning in sorrow.,grie,romance,user,0,3,0.791,Reaction to online_debate,conv_1003,9,2026-05-02T06:19:00.047944
So happy about this!,pens,education,agent,0,1,0.556,Reaction to online_debate,conv_1357,1,2026-05-02T06:19:00.031454
Best day ever!,subm,education,user,0,1,0.612,Reaction to workplace,conv_6829,6,2026-05-02T06:19:00.049621
ASTONISHING!,amaz,romance,friend,0,3,0.691,Reaction to healthcare,conv_6521,3,2026-05-02T06:19:00.047664
This is amazing!,admi,friendship,friend,0,3,0.683,Reaction to romance,conv_6730,3,2026-05-02T06:19:00.046747
Best day ever!,acce,customer_service,stranger,0,1,0.795,Reaction to romance,conv_4499,3,2026-05-02T06:19:00.030635
ABSOLUTELY TERRIFIED!,terr,education,partner,0,3,0.724,Reaction to workplace,conv_5445,1,2026-05-02T06:19:00.047256
This is amazing!,anno,romance,agent,0,1,0.776,Reaction to family,conv_8354,6,2026-05-02T06:19:00.032598
This is amazing!,remo,online_debate,partner,0,1,0.788,Reaction to customer_service,conv_7769,7,2026-05-02T06:19:00.050632
Best day ever!,cont,customer_service,user,0,1,0.588,Reaction to romance,conv_9316,12,2026-05-02T06:19:00.050942
REVOLTED!,loat,education,user,0,3,0.897,Reaction to friendship,conv_3434,4,2026-05-02T06:19:00.048094
Best day ever!,cont,workplace,user,0,1,0.577,Reaction to online_debate,conv_8275,10,2026-05-02T06:19:00.051097
Best day ever!,remo,family,friend,0,1,0.595,Reaction to friendship,conv_2954,1,2026-05-02T06:19:00.050586
So happy about this!,sadn,family,stranger,0,2,0.825,Reaction to friendship,conv_8487,1,2026-05-02T06:19:00.045086
Best day ever!,ange,family,stranger,0,2,0.664,Reaction to online_debate,conv_6955,10,2026-05-02T06:19:00.045892
So happy about this!,cont,education,user,0,1,0.686,Reaction to friendship,conv_7295,3,2026-05-02T06:19:00.051103
So happy about this!,anno,online_debate,agent,0,1,0.721,Reaction to education,conv_6919,7,2026-05-02T06:19:00.032405
Best day ever!,appr,education,partner,0,2,0.674,Reaction to workplace,conv_6616,9,2026-05-02T06:19:00.046317
This is amazing!,sadn,education,agent,0,2,0.906,Reaction to friendship,conv_4366,2,2026-05-02T06:19:00.045116
Best day ever!,trus,online_debate,agent,0,2,0.943,Reaction to online_debate,conv_3507,8,2026-05-02T06:19:00.044039
This is amazing!,trus,customer_service,user,0,2,0.891,Reaction to workplace,conv_9642,3,2026-05-02T06:19:00.044204
NIGHTMARE COME TRUE!,terr,family,agent,0,3,0.898,Reaction to customer_service,conv_8710,3,2026-05-02T06:19:00.047211
So happy about this!,cont,romance,stranger,0,1,0.792,Reaction to family,conv_4271,7,2026-05-02T06:19:00.051088
This is amazing!,inte,workplace,friend,0,1,0.569,Reaction to family,conv_5001,9,2026-05-02T06:19:00.032042
NIGHTMARE COME TRUE!,terr,customer_service,partner,0,3,0.758,Reaction to romance,conv_9916,4,2026-05-02T06:19:00.047277
Best day ever!,trus,romance,partner,0,2,0.7,Reaction to healthcare,conv_1488,6,2026-05-02T06:19:00.044045
This is amazing!,surp,healthcare,stranger,0,2,0.679,Reaction to customer_service,conv_1526,9,2026-05-02T06:19:00.044762
This is amazing!,disg,friendship,friend,0,2,0.864,Reaction to workplace,conv_6512,4,2026-05-02T06:19:00.045452
Mean so much.,love,healthcare,user,0,1,0.701,Reaction to family,conv_3099,12,2026-05-02T06:19:00.049063
So happy about this!,surp,online_debate,stranger,0,2,0.898,Reaction to education,conv_1297,8,2026-05-02T06:19:00.044731
Best day ever!,ange,friendship,friend,0,2,0.835,Reaction to family,conv_6496,12,2026-05-02T06:19:00.045748
This is amazing!,opti,education,user,0,1,0.757,Reaction to family,conv_7159,2,2026-05-02T06:19:00.043299
So happy about this!,opti,customer_service,stranger,0,1,0.754,Reaction to romance,conv_6577,6,2026-05-02T06:19:00.032827
Best day ever!,opti,healthcare,agent,0,1,0.657,Reaction to friendship,conv_2865,2,2026-05-02T06:19:00.043463
What a surprise!,supr,workplace,stranger,0,2,0.937,Reaction to romance,conv_5886,12,2026-05-02T06:19:00.051740
PARALYZED WITH FEAR!,terr,healthcare,friend,0,3,0.916,Reaction to healthcare,conv_6961,10,2026-05-02T06:19:00.047222
This is amazing!,bore,customer_service,user,0,1,0.629,Reaction to education,conv_6320,12,2026-05-02T06:19:00.031727
So happy about this!,aggr,education,agent,0,1,0.77,Reaction to customer_service,conv_7965,12,2026-05-02T06:19:00.051171
This is amazing!,opti,healthcare,stranger,0,1,0.594,Reaction to romance,conv_7662,7,2026-05-02T06:19:00.043498
Best day ever!,surp,romance,partner,0,2,0.81,Reaction to romance,conv_9744,11,2026-05-02T06:19:00.044828
Best day ever!,opti,education,partner,0,1,0.751,Reaction to education,conv_7849,10,2026-05-02T06:19:00.043318
What a surprise!,supr,workplace,user,0,2,0.707,Reaction to workplace,conv_2853,2,2026-05-02T06:19:00.051651
So happy about this!,sadn,romance,agent,0,2,0.927,Reaction to healthcare,conv_8236,6,2026-05-02T06:19:00.045242
So happy about this!,disg,romance,friend,0,2,0.928,Reaction to customer_service,conv_4338,10,2026-05-02T06:19:00.045548
This is amazing!,pens,healthcare,friend,0,1,0.574,Reaction to family,conv_1995,5,2026-05-02T06:19:00.031560
ABSOLUTELY FURIOUS!,rage,family,friend,0,3,0.675,Reaction to online_debate,conv_1339,11,2026-05-02T06:19:00.048684
Best day ever!,sere,education,agent,0,1,0.753,Reaction to education,conv_6787,2,2026-05-02T06:19:00.030455
So happy about this!,cont,customer_service,stranger,0,1,0.777,Reaction to family,conv_7545,6,2026-05-02T06:19:00.050803
Best day ever!,acce,workplace,partner,0,1,0.643,Reaction to customer_service,conv_8630,5,2026-05-02T06:19:00.030881
PARALYZED WITH FEAR!,terr,family,stranger,0,3,0.758,Reaction to healthcare,conv_2414,9,2026-05-02T06:19:00.047071
This is amazing!,cont,education,stranger,0,1,0.602,Reaction to online_debate,conv_3368,11,2026-05-02T06:19:00.051109
On high alert.,vigi,education,friend,0,3,0.703,Reaction to healthcare,conv_8714,5,2026-05-02T06:19:00.048911
This is amazing!,sere,healthcare,partner,0,1,0.651,Reaction to education,conv_3716,11,2026-05-02T06:19:00.030390
COMPLETELY STUNNED!,amaz,education,stranger,0,3,0.788,Reaction to family,conv_5138,12,2026-05-02T06:19:00.047641
